"rm";"id_projeto";"projeto";"tipo_rm";"titulo";"criacao_rm";"termino_rm";"data_corte";"is_backlog"
17529;17;GSAN;Atendimento;Enviar CARTA DE NEGOCIAÇÃO por e-mail;"06/09/2017";"13/09/2017";"01/03/2017";0
17531;17;GSAN;Atendimento;RETIRAR IMOVEL DO CODIGO 42;"06/09/2017";"11/09/2017";"01/03/2017";0
17532;17;GSAN;Atendimento;Valor Retificado e Cancelado do BI diferente do GSAN;"06/09/2017";"06/09/2017";"01/03/2017";0
17533;17;GSAN;Atendimento;QUERY SETOR 145 LOCALIDADE CABO DE SANTO AGOSTINHO;"06/09/2017";"06/09/2017";"01/03/2017";0
17534;17;GSAN;Atendimento;Exclusão de leiturusta em duplicidade;"06/09/2017";"04/10/2017";"01/03/2017";0
17535;17;GSAN;Atendimento;Problema no Faturamento dos Contratos de Demanda;"06/09/2017";"11/09/2017";"01/03/2017";0
17536;38;BI Desenvolvimento;Atendimento;[COMERCIAL] Valor Retificado e Cancelado do BI diferente do GSAN;"06/09/2017";"22/02/2019";"01/03/2017";0
17537;3;Alpha;Atendimento;admin/solution - alteraçao de senha;"06/09/2017";"06/09/2017";"01/03/2017";0
17538;3;Alpha;Atendimento;admin/solution - alteraçao de senha;"06/09/2017";"06/09/2017";"01/03/2017";0
17539;38;BI Desenvolvimento;Atendimento;[GMR] - Os dias de feriados Federal, Estadual e Municipal devem ser considerados nos cálculos quantitativos de dias;"06/09/2017";"29/12/2017";"01/03/2017";0
17540;17;GSAN;Atendimento;PROCESSO 6 -  GERAR DOCUMENTO DE COBRANCA - EVENTUAL (CARTA NEGOCIACAO);"08/09/2017";"11/09/2017";"01/03/2017";0
17541;17;GSAN;Atendimento;PROCESSO 61 -  ENCERRAR ARRECADACAO PARTE 1;"11/09/2017";"14/11/2017";"01/03/2017";0
17542;17;GSAN;Atendimento;Verificar os Imóveis que estão em SEF Faturar Taxa Mínima que não saíram na Rota de Leitura;"11/09/2017";"12/09/2017";"01/03/2017";0
17543;61;SIG - Sistema Informações Gerenciais;Atendimento;Solicitação de atualização da Query;"11/09/2017";"11/09/2017";"01/03/2017";0
17544;17;GSAN;Atendimento;QUERY SISTEMA EM COLAPSO;"11/09/2017";"22/09/2017";"01/03/2017";0
17545;17;GSAN;Atendimento;Erro na geração de roteiro para atualização cadastral do setor 810, Timbaúba;"11/09/2017";"27/10/2017";"01/03/2017";0
17546;17;GSAN;Atendimento;CODIGO DE BARRA NAO CONFERE;"11/09/2017";"13/09/2017";"01/03/2017";0
17547;3;Alpha;Atendimento;ALPHA v9 - treinamento Modulo de MANUTENÇÃO;"11/09/2017";"12/09/2017";"01/03/2017";0
17548;28;SIC;Correções;Usuário de criação do comunicado está sendo sobrescrito na alteração;"11/09/2017";"11/09/2017";"01/03/2017";0
17549;17;GSAN;Atendimento;Efetuar testes do GSAN no oracle 12c;"11/09/2017";"07/02/2018";"01/03/2017";0
17550;28;SIC;Correções;"Email de comunicados de esgoto continuam com texto ""Tempo de desabastecimento""";"11/09/2017";"11/09/2017";"01/03/2017";0
17551;61;SIG - Sistema Informações Gerenciais;Atendimento;Solicitação de atualização da Query de IAA e IAE;"11/09/2017";"11/09/2017";"01/03/2017";0
17552;17;GSAN;Atendimento;"2 - FATURAR GRUPO FATURAMENTO";"11/09/2017";"12/09/2017";"01/03/2017";0
17553;3;Alpha;Atendimento;admin/solution - alteração de perfil;"11/09/2017";"11/09/2017";"01/03/2017";0
17554;17;GSAN;Corretiva;GSAN AC - Ajustes no Roteiro de Fiscalização;"11/09/2017";"27/09/2017";"01/03/2017";0
17555;3;Alpha;Atendimento;admin/solution - alteração de senha;"11/09/2017";"11/09/2017";"01/03/2017";0
17556;17;GSAN;Corretiva;Processo 282 concluiu com erro;"12/09/2017";"27/09/2017";"01/03/2017";0
17557;17;GSAN;Atendimento;PROCESSO 50 - ENCERRAR ARRECADAÇÃO PARTE 2;"12/09/2017";"12/09/2017";"01/03/2017";0
17558;20;SIM;Correções;Algumas ASs não estão gerando o relatório PDF;"12/09/2017";"12/09/2017";"01/03/2017";0
17559;3;Alpha;Atendimento;CONTABILIDADE -Análise de erro na geração do arquivo para o TCE;"12/09/2017";"12/09/2017";"01/03/2017";0
17560;3;Alpha;Atendimento;Senhas - Desbloqueio;"12/09/2017";"12/09/2017";"01/03/2017";0
17561;17;GSAN;Atendimento;Analisar o impacto de limpar a sala virtual (ALTERAÇÃO DE INSCRIÇÃO VIA BATCH);"12/09/2017";"27/09/2017";"01/03/2017";0
17562;3;Alpha;Atendimento;admin/solution - alteração de senha;"12/09/2017";"12/09/2017";"01/03/2017";0
17563;3;Alpha;Atendimento;admin/solution - alteração de sites;"12/09/2017";"12/09/2017";"01/03/2017";0
17564;3;Alpha;Atendimento;admin/solution - alteração de senha;"12/09/2017";"12/09/2017";"01/03/2017";0
17565;3;Alpha;Atendimento;admin/solution - alteração de senha;"12/09/2017";"12/09/2017";"01/03/2017";0
17566;3;Alpha;Atendimento;admin/solution - alteração de senha;"12/09/2017";"12/09/2017";"01/03/2017";0
17567;17;GSAN;Atendimento;Solicito query para Premissas;"12/09/2017";"13/09/2017";"01/03/2017";0
17568;38;BI Desenvolvimento;Atendimento;[GTL MAPA] Verificação da quantidade de pontos marcados no mapa;"12/09/2017";"25/09/2017";"01/03/2017";0
17569;38;BI Desenvolvimento;Atendimento;[COMERCIAL] Correção do total do faturamento das esferas Federal, Estadual e Municipal;"12/09/2017";"14/09/2017";"01/03/2017";0
17571;17;GSAN;Atendimento;Ajuste Tipo de unidades;"12/09/2017";"12/09/2017";"01/03/2017";0
17572;57;ITC ;Evoluções e Novos Projetos;Definições de design e interação do Hyperion;"12/09/2017";"03/09/2018";"01/03/2017";0
17573;38;BI Desenvolvimento;Atendimento;[PLANO DE METAS] Atualização das METAS;"12/09/2017";"22/09/2017";"01/03/2017";0
17574;17;GSAN;Atendimento;ATUALIZAÇÃO QUERY ALEX_CARMEN;"12/09/2017";"19/09/2017";"01/03/2017";0
17576;38;BI Desenvolvimento;Atendimento;[GESTÃO APRESENTAÇÃO] Atualização;"12/09/2017";"12/09/2017";"01/03/2017";0
17577;61;SIG - Sistema Informações Gerenciais;Atendimento;INCLUSÃO DE COLUNAS EM PLANILHA DO SIG - FATURAMENTO - MOTIVOS DE CONTAS NÃO ENTREGUES;"12/09/2017";"22/09/2017";"01/03/2017";0
17578;38;BI Desenvolvimento;Atendimento;[SAT] Atualização;"12/09/2017";"12/09/2017";"01/03/2017";0
17579;17;GSAN;Corretiva;Corrigir Funcionalidade de Manter Resolução de Diretoria;"12/09/2017";"31/10/2017";"01/03/2017";0
17580;17;GSAN;Corretiva;Ajustar o mapeamento da sequence da entidade CarteiraAcompanhamentoFaturamento;"12/09/2017";"19/09/2017";"01/03/2017";0
17581;28;SIC;Correções;Erro ao transferir funcionário;"12/09/2017";"14/09/2017";"01/03/2017";0
17582;17;GSAN;Atendimento;Query;"12/09/2017";"15/09/2017";"01/03/2017";0
17583;3;Alpha;Atendimento;admin/solution - alteraçao de senha;"12/09/2017";"12/09/2017";"01/03/2017";0
17584;38;BI Desenvolvimento;Atendimento;[PSA] Atualização;"12/09/2017";"12/09/2017";"01/03/2017";0
17585;17;GSAN;Atendimento;MUDAR SITUAÇÃO DE HIDROMETRO;"12/09/2017";"13/09/2017";"01/03/2017";0
17586;17;GSAN;Corretiva;Processo 50 - ENCERRAR ARRECADACAO PARTE 2;"13/09/2017";"19/09/2017";"01/03/2017";0
17587;3;Alpha;Atendimento;Manutenção - disponibilzar consulta;"13/09/2017";"13/09/2017";"01/03/2017";0
17588;3;Alpha;Atendimento;Consulta Despesa de Viagem;"13/09/2017";"13/09/2017";"01/03/2017";0
17589;17;GSAN;Corretiva;Erro na recepção do roteiro de fiscalização do S-240 de Limoeiro;"13/09/2017";"22/09/2017";"01/03/2017";0
17590;61;SIG - Sistema Informações Gerenciais;Atendimento;Implantação da Base Completa dos Clientes em Débito Automático no SIG;"13/09/2017";"02/10/2017";"01/03/2017";0
17591;3;Alpha;Atendimento;Criação de ID funcionário para terceirizado;"13/09/2017";"13/09/2017";"01/03/2017";0
17592;3;Alpha;Atendimento;validação da customização - Controle Rápido Fluxo da Ordem;"13/09/2017";"14/11/2017";"01/03/2017";0
17593;17;GSAN;Atendimento;Analise dos emails que retornam como não enviados no envio da conta.;"13/09/2017";"12/04/2018";"01/03/2017";0
17594;61;SIG - Sistema Informações Gerenciais;Atendimento;"Incluir no SIG coluna "" Nome do Cadastrador""";"13/09/2017";"22/02/2019";"01/03/2017";0
17595;17;GSAN;Atendimento;PROCESSO 6 - GERAR DOCUMENTO DE COBRANCA - EVENTUAL (CORTE FISICO);"13/09/2017";"13/09/2017";"01/03/2017";0
17596;17;GSAN;Atendimento;CONTA EM CONTRATO DE PARCELAMENTO E AINDA CONSTA NA TELA DE DEBITO - 57963166;"13/09/2017";"14/09/2017";"01/03/2017";0
17597;17;GSAN;Atendimento;Reativar matrícula 75034750 que foi excluída indevidamente;"13/09/2017";"13/09/2017";"01/03/2017";0
17598;28;SIC;Evoluções e Novos Projetos;Programa de agendamento de reuniões.;"13/09/2017";"14/11/2017";"01/03/2017";0
17599;17;GSAN;Atendimento;Duplicidade de registros;"13/09/2017";"14/09/2017";"01/03/2017";0
17600;17;GSAN;Atendimento;Acrescentar informações de pagamentos em planilha de ação de cobrança;"13/09/2017";"14/09/2017";"01/03/2017";0
17601;17;GSAN;Atendimento;Atualização de planilha de visita de cobranças efetuadas pela GNM Norte;"13/09/2017";"14/09/2017";"01/03/2017";0
17602;17;GSAN;Atendimento;Gerar relatório para boletim de medição - Agosto/17;"14/09/2017";"14/09/2017";"01/03/2017";0
17603;3;Alpha;Atendimento;admin/solution - criação de login ALPHA;"14/09/2017";"14/09/2017";"01/03/2017";0
17604;17;GSAN;Atendimento;Gerar ordem de fiscalização - Varejo;"14/09/2017";"14/11/2017";"01/03/2017";0
17605;17;GSAN;Atendimento;Processo 341 - PROCESSOS PARA EXECUCAO DIARIA;"14/09/2017";"15/09/2017";"01/03/2017";0
17606;3;Alpha;Atendimento;admin/solution - alteração de senha;"14/09/2017";"14/09/2017";"01/03/2017";0
17607;3;Alpha;Atendimento;admin/solution - alteração de senha;"14/09/2017";"14/09/2017";"01/03/2017";0
17608;17;GSAN;Corretiva;Erro na Recepção do Roteiro x imóveis no Pre-GSAN;"14/09/2017";"16/11/2017";"01/03/2017";0
17609;17;GSAN;Atendimento;ATUALIZAÇÃO DATA PAGAMENTO;"14/09/2017";"18/09/2017";"01/03/2017";0
17610;57;ITC ;Atendimento;Atualizar os tipos de demandas e fluxos do projeto IT&C no REDMINE;"14/09/2017";"03/09/2018";"01/03/2017";0
17611;3;Alpha;Atendimento;admin/solution - alteração de senha;"14/09/2017";"14/09/2017";"01/03/2017";0
17612;17;GSAN;Atendimento;Planilha de Alex gerada por Alex.;"14/09/2017";"18/09/2017";"01/03/2017";0
17613;17;GSAN;Corretiva;Modificar a forma como o servidor de aplicação sobe como batch;"14/09/2017";"19/09/2017";"01/03/2017";0
17614;3;Alpha;Atendimento;admin/solution - alteração de senha;"14/09/2017";"14/09/2017";"01/03/2017";0
17616;3;Alpha;Atendimento;admin/solution - criação de login ALPHA;"14/09/2017";"14/09/2017";"01/03/2017";0
17619;17;GSAN;Atendimento;Reativar a matrícula 107707713;"14/09/2017";"14/09/2017";"01/03/2017";0
17622;3;Alpha;Atendimento;admin/solution - alteração de senha;"14/09/2017";"14/09/2017";"01/03/2017";0
17623;28;SIC;Evoluções e Novos Projetos;Integrar Comunicados ao Compesa Mobile;"14/09/2017";"25/09/2017";"01/03/2017";0
17625;17;GSAN;Atendimento;BAIXAR FATURA INCLUSA NO PARCELAMENTO;"14/09/2017";"15/09/2017";"01/03/2017";0
17626;61;SIG - Sistema Informações Gerenciais;Atendimento;SIG - funcionalidade: REGISTRO DE ATENDIMENTO COMERCIAL PENDENTE;"14/09/2017";"15/09/2017";"01/03/2017";0
17627;61;SIG - Sistema Informações Gerenciais;Atendimento;Atualiar o S I G;"14/09/2017";"17/04/2018";"01/03/2017";0
17628;17;GSAN;Atendimento;PROCESSO 6 - GERAR DOCUMENTO DE COBRANCA - EVENTUAL (CARTA COBRANCA);"14/09/2017";"15/09/2017";"01/03/2017";0
17629;28;SIC;Correções;Erro ao remanejar desalocado;"15/09/2017";"15/09/2017";"01/03/2017";0
17630;17;GSAN;Evolutiva;Retificações Usuário - Limite por Matrícula;"15/09/2017";"22/02/2018";"01/03/2017";0
17631;17;GSAN;Atendimento;Query de Matriculas para enviar SMS ao clientes adimplentes ( Dia do Cliente );"15/09/2017";"15/09/2017";"01/03/2017";0
17632;17;GSAN;Atendimento;QUERYS GEV DE AGOSTO DE 2017;"15/09/2017";"20/09/2017";"01/03/2017";0
17633;17;GSAN;Atendimento;Projeto Agua da Compesa - Acesso carteiras;"15/09/2017";"21/09/2017";"01/03/2017";0
17634;3;Alpha;Atendimento;admin/solution - alteração de senha;"15/09/2017";"15/09/2017";"01/03/2017";0
17635;17;GSAN;Atendimento;Matrícula: 53910106 Rd 12/2016 programa fidelização;"15/09/2017";"25/10/2017";"01/03/2017";0
17636;17;GSAN;Atendimento;Tarifa social _Atualizacao de dados;"15/09/2017";"14/11/2017";"01/03/2017";0
17637;17;GSAN;Atendimento;planilha de avisos de corte válidos;"15/09/2017";"18/09/2017";"01/03/2017";0
17639;17;GSAN;Corretiva;Erro no carregamento dos arquivos do roteiro de fiscalização - Setor 230 de Limoeiro;"18/09/2017";"22/09/2017";"01/03/2017";0
17640;43;Compesa Mobile;Evoluções e Novos Projetos;Compesa Mobile 4 - Autoleitura - Comunicação GSAN;"18/09/2017";"20/11/2017";"01/03/2017";0
17641;17;GSAN;Atendimento;Complemento de planilha com resultado de ação;"18/09/2017";"18/09/2017";"01/03/2017";0
17642;3;Alpha;Atendimento;admin/solution - ateração senha;"18/09/2017";"18/09/2017";"01/03/2017";0
17643;17;GSAN;Atendimento;Migração das O.Ss da unidade 4814 para 4809 e da 4815 para 4810;"18/09/2017";"03/10/2017";"01/03/2017";0
17644;17;GSAN;Atendimento;Erro liberação de matrícula para atualização cadastral no Pré-GSAN-Setor 240, Limoeiro;"18/09/2017";"01/11/2017";"01/03/2017";0
17645;17;GSAN;Atendimento;Dados Carteira de Varejo;"18/09/2017";"06/02/2018";"01/03/2017";0
17646;3;Alpha;Atendimento;admin/solution - ateração senha;"18/09/2017";"18/09/2017";"01/03/2017";0
17647;3;Alpha;Atendimento;distribuition - informação;"18/09/2017";"18/09/2017";"01/03/2017";0
17648;38;BI Desenvolvimento;Atendimento;Acesso ao BI FIDECOM aos membros da Gerência de Atendimento ao Cliente - GAC;"18/09/2017";"19/09/2017";"01/03/2017";0
17649;28;SIC;Atendimento;Ajuste no Campo Planejamento de Materiais de Manutenção do SIC;"18/09/2017";"31/01/2019";"01/03/2017";0
17650;3;Alpha;Atendimento;centro de custo - informação;"18/09/2017";"18/09/2017";"01/03/2017";0
17651;3;Alpha;Atendimento;admin/solution - ateração senha;"18/09/2017";"18/09/2017";"01/03/2017";0
17652;17;GSAN;Corretiva;Erro no relatório resumo do GSAN AC Fiscalização;"18/09/2017";"27/09/2017";"01/03/2017";0
17653;17;GSAN;Atendimento;RETIRAR IMOVEL DO CODIGO 42 - 54236689;"18/09/2017";"20/09/2017";"01/03/2017";0
17654;17;GSAN;Atendimento;RETIRAR CODIGO 42 DE BUIQUE E ITAIBA NO CICLO 07/2017;"18/09/2017";"20/09/2017";"01/03/2017";0
17655;17;GSAN;Atendimento;Processo 5 - GERAR DADOS DIARIOS ARRECADACAO;"18/09/2017";"18/09/2017";"01/03/2017";0
17656;17;GSAN;Atendimento;BAIXA DE FATURA INCLUSA NO PARCELAMENTO;"19/09/2017";"19/09/2017";"01/03/2017";0
17657;28;SIC;Atendimento;Problemas de NF's;"19/09/2017";"09/02/2018";"01/03/2017";0
17658;28;SIC;Atendimento;Importação de CE's e Ofícios;"19/09/2017";"28/09/2017";"01/03/2017";0
17659;38;BI Desenvolvimento;Atendimento;[COMERCIAL] Verificação de valores de débito;"19/09/2017";"10/01/2019";"01/03/2017";0
17660;17;GSAN;Atendimento;PLANILHA GHI | Inclusões de Campos;"19/09/2017";"19/09/2017";"01/03/2017";0
17661;3;Alpha;Atendimento;admin/solution - alteração de senha;"19/09/2017";"19/09/2017";"01/03/2017";0
17662;3;Alpha;Atendimento;admin/solution - alteração de senha;"19/09/2017";"19/09/2017";"01/03/2017";0
17663;17;GSAN;Atendimento;Desbloqueio de acesso.;"19/09/2017";"19/09/2017";"01/03/2017";0
17664;17;GSAN;Atendimento;Relatório relação de matricula, célula, anormalidade, revisão de RA... Elaborada por Souza;"19/09/2017";"23/10/2017";"01/03/2017";0
17665;17;GSAN;Atendimento;Desbloqueio de acesso.;"19/09/2017";"19/09/2017";"01/03/2017";0
17666;3;Alpha;Atendimento;admin/solution - liberação de acesso ALPHA v9;"19/09/2017";"19/09/2017";"01/03/2017";0
17667;17;GSAN;Atendimento;composição contas a receber agosto 2017;"19/09/2017";"20/09/2017";"01/03/2017";0
17668;17;GSAN;Atendimento;diferença no quantitativo de corte no GSAN para o manual;"19/09/2017";"21/09/2017";"01/03/2017";0
17670;17;GSAN;Corretiva;Erro GSAN (Call Center Compesa);"20/09/2017";"28/09/2017";"01/03/2017";0
17671;67;Gerencial GSC;Atendimento;Resposta :: Relatório de Auditoria do TCE 2014 :: Processo 15100346-4;"20/09/2017";"26/10/2017";"01/03/2017";0
17672;3;Alpha;Atendimento;admin/solution - alteração de senha;"20/09/2017";"20/09/2017";"01/03/2017";0
17673;17;GSAN;Atendimento;Planilha Faturamento Orgãos Publicos.;"20/09/2017";"22/09/2017";"01/03/2017";0
17674;17;GSAN;Atendimento;Relatório TCE 2014 :: Método de Envio de Senha;"20/09/2017";"30/05/2018";"01/03/2017";0
17675;17;GSAN;Evolutiva;Relatório TCE 2014 :: Segurança de Senhas;"20/09/2017";"30/05/2018";"01/03/2017";0
17676;17;GSAN;Corretiva;Erro de sistema;"20/09/2017";"27/09/2017";"01/03/2017";0
17677;17;GSAN;Evolutiva;Relatório TCE 2014 :: Adequação da Funcionalidade Esqueceu a Senha?;"20/09/2017";"18/06/2018";"01/03/2017";0
17678;17;GSAN;Atendimento;GSAN | Problemas encerramento das ORDENS DE SERVIÇOS;"20/09/2017";"27/09/2017";"01/03/2017";0
17679;61;SIG - Sistema Informações Gerenciais;Evoluções e Novos Projetos;Banco do Brasil 40 milhões;"20/09/2017";"23/11/2017";"01/03/2017";0
17681;17;GSAN;Atendimento;Erro - O.S de devolução gerada repetidas vezes na equipe programada do dia;"20/09/2017";"03/12/2018";"01/03/2017";0
17682;3;Alpha;Atendimento;admin/solution - atteração de senha;"20/09/2017";"20/09/2017";"01/03/2017";0
17683;17;GSAN;Corretiva;Correção nos relatórios dos Ambientes Virtuais - R1446, R1447-A e R1447-B;"20/09/2017";"02/03/2018";"01/03/2017";0
17684;17;GSAN;Corretiva;Correção no relatório Resumo da Posição da Atualização Cadastral - R1311;"21/09/2017";"24/10/2017";"01/03/2017";0
17685;17;GSAN;Evolutiva;"6 - GERAR DOCUMENTO DE COBRANCA - EVENTUAL (CORTE ADMINISTRATIVO)";"21/09/2017";"05/10/2017";"01/03/2017";0
17686;47;BI Help;Atendimento;Demanda do Condepe/Fidem;"21/09/2017";"21/09/2017";"01/03/2017";0
17687;61;SIG - Sistema Informações Gerenciais;Atendimento;Query Mensal Valor Faturado Gov. de Pernambuco Administração Direta.;"21/09/2017";"21/09/2017";"01/03/2017";0
17688;61;SIG - Sistema Informações Gerenciais;Atendimento;Query Mensal Valor Faturado Gov. de Pernambuco Administração Direta.;"21/09/2017";"29/09/2017";"01/03/2017";0
17689;16;SGCQ;Atendimento;Inserir Novos Parametros de Analise;"21/09/2017";"21/09/2017";"01/03/2017";0
17690;17;GSAN;Atendimento;ATUALIZAÇÃO ARQUIVO PAGAMENTO GRANDES CLIENTES GNM SUL;"21/09/2017";"03/04/2018";"01/03/2017";0
17691;61;SIG - Sistema Informações Gerenciais;Atendimento;ATUALIZAÇÃO COM CORREÇÃO DA PLAN  REGISTRO DE ATENDIMENTO COMERCIAL PENDENTE;"21/09/2017";"03/10/2017";"01/03/2017";0
17692;17;GSAN;Corretiva;VERIFICAR AUSENCIA DAS LEITURAS NA LIGAÇÃO DE ESGOTO DA MATRICULA 55016585;"21/09/2017";"13/04/2018";"01/03/2017";0
17693;17;GSAN;Atendimento;Encerramento de RA de Reclamação de Calendário de Abastecimento;"21/09/2017";"27/09/2017";"01/03/2017";0
17694;47;BI Help;Atendimento;Demanda do Condepe/Fidem;"21/09/2017";"23/10/2017";"01/03/2017";0
17695;17;GSAN;Atendimento;Query - Roberto Tavares;"21/09/2017";"21/09/2017";"01/03/2017";0
17697;17;GSAN;Atendimento;Lista de Matrículas;"21/09/2017";"26/09/2017";"01/03/2017";0
17698;17;GSAN;Atendimento;Acesso à Carteira de Varejo;"21/09/2017";"21/09/2017";"01/03/2017";0
17699;38;BI Desenvolvimento;Atendimento;[OPERACIONAL] Informações de vazamento de água não aparecem para CRE Arcoverde em Agosto de 2017;"21/09/2017";"10/01/2019";"01/03/2017";0
17700;61;SIG - Sistema Informações Gerenciais;Atendimento;"[GMR] - BM do contrato de obra ""CT.PS.17.4.053"" não apresenta o serviço ""INST.DE RAMAL PRED.AGUA C/INSTAL. HIDROMETRO""";"21/09/2017";"28/09/2017";"01/03/2017";0
17701;17;GSAN;Corretiva;O GSAN ao desconsiderar o zero que inicia o número do CPF;"21/09/2017";"16/05/2018";"01/03/2017";0
17702;72;Gestão de Normativos;Evoluções e Novos Projetos;Projeto Sistema de Padronização;"21/09/2017";"13/08/2018";"01/03/2017";0
17703;17;GSAN;Evolutiva;"Funcionalidade Validar Serviço Executado - Exibir mensagem ""Deseja encerrar o Registro de Atendimento?""";"21/09/2017";"08/01/2018";"01/03/2017";0
17704;17;GSAN;Atendimento;Alterar data da tarifa: CAGEPA.;"21/09/2017";"22/09/2017";"01/03/2017";0
17705;61;SIG - Sistema Informações Gerenciais;Atendimento;ADEQUAÇÃO DA PLANILHA - FATURAMENTO - MOTIVOS DE CONTAS NÃO ENTREGUES;"22/09/2017";"22/09/2017";"01/03/2017";0
17706;17;GSAN;Atendimento;Retenção do Imposto Orgãos Federais;"22/09/2017";"22/01/2018";"01/03/2017";0
17707;17;GSAN;Atendimento;RMR :: OBRIGATORIEDADE DO GEORREFERENCIAMENTO PARA TODOS OS REGISTROS DE ATENDIMENTO;"22/09/2017";"22/09/2017";"01/03/2017";0
17708;38;BI Desenvolvimento;Atendimento;[GESTAO] Verificar o porquê dos projetos PJ003DMA16 e S11359 estão com os realizados errados;"22/09/2017";"17/01/2018";"01/03/2017";0
17709;3;Alpha;Atendimento;ORÇAMENTO - Gerar uma planilha dos usuários que autorizaram ou contrataram PA em 2017;"22/09/2017";"22/09/2017";"01/03/2017";0
17710;3;Alpha;Atendimento;ORÇAMENTO - Alterar o processo de contratação de um PA para que somente a DGC(Diretor) possa autorizar ou contratar;"22/09/2017";"23/11/2017";"01/03/2017";0
17712;3;Alpha;Atendimento;manutenção - dificuldade de acesso;"22/09/2017";"22/09/2017";"01/03/2017";0
17713;61;SIG - Sistema Informações Gerenciais;Atendimento;Planilha Faturamento Orgãos Publicos;"22/09/2017";"29/09/2017";"01/03/2017";0
17715;17;GSAN;Atendimento;Correção da matrícula que apareceu a duplicidade da ocorrência (matrícula 14627103);"22/09/2017";"09/02/2018";"01/03/2017";0
17716;17;GSAN;Atendimento;Alteração de endereço de loja de Atendimento;"22/09/2017";"25/09/2017";"01/03/2017";0
17717;17;GSAN;Corretiva;"Não reconhecimento da foto ""correspondência"" - GSAN AC Fiscalização";"22/09/2017";"16/05/2018";"01/03/2017";0
17719;17;GSAN;Atendimento;RETIRAR IMOVEL DO CODIGO 42 - 69151493;"22/09/2017";"26/09/2017";"01/03/2017";0
17720;17;GSAN;Atendimento;Processo 5 - GERAR DADOS DIARIOS ARRECADACAO;"23/09/2017";"25/10/2017";"01/03/2017";0
17721;17;GSAN;Atendimento;Ação Em dia com a Compesa - Fase de Corte;"25/09/2017";"25/09/2017";"01/03/2017";0
17722;17;GSAN;Atendimento;Parcelamentos e Extratos das Lojas de Atendimento;"25/09/2017";"25/09/2017";"01/03/2017";0
17723;3;Alpha;Atendimento;admin/solution - alteração de senha;"25/09/2017";"25/09/2017";"01/03/2017";0
17724;17;GSAN;Atendimento;Reativar matrícula 107523469;"25/09/2017";"25/09/2017";"01/03/2017";0
17725;17;GSAN;Atendimento;Atualização da Planilha do Recadastramento Tarifa Social  RM 15532;"25/09/2017";"25/09/2017";"01/03/2017";0
17726;17;GSAN;Atendimento;Atualização da Planilha do Recadastramento Tarifa Social  RM 15532;"25/09/2017";"25/09/2017";"01/03/2017";0
17727;3;Alpha;Atendimento;admin/solution - alteração de senha;"25/09/2017";"25/09/2017";"01/03/2017";0
17728;28;SIC;Evoluções e Novos Projetos;Alteração - Fechamento do mês;"25/09/2017";"12/01/2018";"01/03/2017";0
17729;17;GSAN;Atendimento;Query de Suspensão por Colapso - Outubro, Novembro e Dezembro de 2016;"25/09/2017";"26/09/2017";"01/03/2017";0
17730;3;Alpha;Atendimento;GCO - Relatório de consulta de OS para o CCO;"25/09/2017";"11/12/2017";"01/03/2017";0
17731;17;GSAN;Atendimento;cobrança de tarifa de agua;"25/09/2017";"27/09/2017";"01/03/2017";0
17732;17;GSAN;Atendimento;Desfazer o encerramento do RA e OS realizado pela Unidade 9997 GCM em 22/09/2017 das unidades da GMR;"25/09/2017";"26/09/2017";"01/03/2017";0
17733;17;GSAN;Corretiva;GSAN AC arquivo fiscalização;"25/09/2017";"27/09/2017";"01/03/2017";0
17734;3;Alpha;Atendimento;admin/solution - alteração de senha;"25/09/2017";"25/09/2017";"01/03/2017";0
17735;17;GSAN;Atendimento;RAs fechados automaticamente na matrícula 60330;"25/09/2017";"26/09/2017";"01/03/2017";0
17736;3;Alpha;Atendimento;admin/solution - alteração senha;"26/09/2017";"26/09/2017";"01/03/2017";0
17737;17;GSAN;Atendimento;Restrição de funcionalidade ao grupo Administradores;"26/09/2017";"26/09/2017";"01/03/2017";0
17738;17;GSAN;Atendimento;IPMA: mês referência;"26/09/2017";"26/09/2017";"01/03/2017";0
17739;17;GSAN;Atendimento;Cartas de Obrigatoriedade de esgoto não emitidas;"26/09/2017";"26/09/2017";"01/03/2017";0
17741;17;GSAN;Atendimento;IPMA: problemas em códigos de tipo de serviço OS;"26/09/2017";"26/09/2017";"01/03/2017";0
17742;17;GSAN;Atendimento;Desfazer o encerramento do RA realizado pela Unidade 9997 GCM em 22/09/2017 das unidades da GMR - RA não tem OS encerrada pela GCM;"26/09/2017";"26/09/2017";"01/03/2017";0
17743;17;GSAN;Atendimento;Erro do sistema em tentativa de recepção de roteiro do setor 830, localidade 153-Timbaúba;"26/09/2017";"27/09/2017";"01/03/2017";0
17744;17;GSAN;Atendimento;GSAN | Problemas de Abertura e Encerramento das RA - Coordenadas;"26/09/2017";"27/09/2017";"01/03/2017";0
17745;17;GSAN;Atendimento;Reativar RAs encerradas pelo comando 80512;"26/09/2017";"29/09/2017";"01/03/2017";0
17746;38;BI Desenvolvimento;Atendimento;BI - Grupo de Faturamento;"26/09/2017";"20/02/2018";"01/03/2017";0
17747;28;SIC;Evoluções e Novos Projetos;Permitir importação de planilha na previsão de itens para manutenção;"27/09/2017";"01/11/2017";"01/03/2017";0
17748;17;GSAN;Atendimento;Identificar Grupos de faturamento e Categoria;"27/09/2017";"27/09/2017";"01/03/2017";0
